arm,rotation_deg,center_error_d,rgb_visible_measured_weight_fraction,rgb_invisible_measured_weight_fraction
original,9.340946346521378,0.019321307287706684,0.024797691963613033,0.008093824076543873
original_balanced,9.301041955749193,0.021777775803154025,0.10470396714905898,0.02029603678965941
dense,9.79675130546093,0.03174105928822731,0.2660894105987002,0.0637780338123169
dense_balanced,9.701789796352386,0.038010078230096646,0.407098891834418,0.09626094922956933
