sequence,case,region,metric,on,off,on_minus_off
20200709-subject-01/20200709_151246,natural,geometry_focus_proxy,xyz_mm,50.16936365763346,50.16940689086914,-4.323323567945181e-05
20200709-subject-01/20200709_151632,natural,geometry_focus_proxy,xyz_mm,77.18177668253581,77.18285853068033,-0.0010818481445227235
20200709-subject-01/20200709_152420,natural,geometry_focus_proxy,xyz_mm,47.414618134498596,47.41446614265442,0.0001519918441772461
20200709-subject-01/20200709_152757,natural,geometry_focus_proxy,xyz_mm,19.9262173252721,19.924239497030936,0.0019778282411628823
20200709-subject-01/20200709_153148,natural,geometry_focus_proxy,xyz_mm,55.91039680032169,55.910198884851795,0.0001979154698972252
20200709-subject-01/20200709_153548,natural,geometry_focus_proxy,xyz_mm,37.27341079711914,37.27164154052734,0.0017692565917997172
20200813-subject-02/20200813_145612,natural,geometry_focus_proxy,xyz_mm,61.80002403259277,61.800826679576524,-0.0008026469837503214
20200813-subject-02/20200813_145920,natural,geometry_focus_proxy,xyz_mm,103.02508544921875,103.01741518293109,0.00767026628766132
20200813-subject-02/20200813_150228,natural,geometry_focus_proxy,xyz_mm,54.69771506569602,54.69678636030717,0.0009287053888513697
20200813-subject-02/20200813_150535,natural,geometry_focus_proxy,xyz_mm,39.02473433121391,39.02570542045262,-0.0009710892387104764
20200813-subject-02/20200813_150823,natural,geometry_focus_proxy,xyz_mm,36.31237721443176,36.310110569000244,0.0022666454315185547
20200813-subject-02/20200813_151117,natural,geometry_focus_proxy,xyz_mm,36.69336520924288,36.69348503561581,-0.0001198263729307314
20200813-subject-02/20200813_151925,natural,geometry_focus_proxy,xyz_mm,46.731649780273436,46.73619918823242,-0.004549407958982954
20200813-subject-02/20200813_152215,natural,geometry_focus_proxy,xyz_mm,31.681947326660158,31.687683868408204,-0.0057365417480461645
20200813-subject-02/20200813_152513,natural,geometry_focus_proxy,xyz_mm,52.82890701293945,52.83933639526367,-0.01042938232421875
20200813-subject-02/20200813_152842,natural,geometry_focus_proxy,xyz_mm,53.65725835164388,53.675350189208984,-0.018091837565101798
20200813-subject-02/20200813_153152,natural,geometry_focus_proxy,xyz_mm,68.01109049870418,68.03922477135292,-0.028134272648742353
20200813-subject-02/20200813_153453,natural,geometry_focus_proxy,xyz_mm,72.51753221239362,72.51774883270264,-0.00021662030901836715
20200813-subject-02/20200813_153802,natural,geometry_focus_proxy,xyz_mm,70.4982237815857,70.49834322929382,-0.00011944770812988281
20200813-subject-02/20200813_154103,natural,geometry_focus_proxy,xyz_mm,57.55293721738069,57.552218561587125,0.0007186557935625615
20200813-subject-02/20200813_154408,natural,geometry_focus_proxy,xyz_mm,53.95465008417765,53.96113657951355,-0.006486495335899178
20200813-subject-02/20200813_154729,natural,geometry_focus_proxy,xyz_mm,77.37229601542155,77.38359959920247,-0.011303583780915005
20200813-subject-02/20200813_155021,natural,geometry_focus_proxy,xyz_mm,38.43425649404526,38.434472024440765,-0.0002155303955078125
20200813-subject-02/20200813_155314,natural,geometry_focus_proxy,xyz_mm,22.42801956903367,22.427285603114537,0.0007339659191316628
20200813-subject-02/20200813_155633,natural,geometry_focus_proxy,xyz_mm,59.352648053850444,59.352447146461124,0.0002009073893205482
20200709-subject-01/20200709_142123,natural,geometry_focus_proxy,zero_xyz_mm,60.76663291454315,60.76663291454315,0.0
20200709-subject-01/20200709_142446,natural,geometry_focus_proxy,zero_xyz_mm,74.66222715377808,74.66222715377808,0.0
20200709-subject-01/20200709_142802,natural,geometry_focus_proxy,zero_xyz_mm,39.05721001003099,39.05721001003099,0.0
20200709-subject-01/20200709_143125,natural,geometry_focus_proxy,zero_xyz_mm,50.75234770774841,50.75234770774841,0.0
20200709-subject-01/20200709_143531,natural,geometry_focus_proxy,zero_xyz_mm,63.575623512268066,63.575623512268066,0.0
20200709-subject-01/20200709_143907,natural,geometry_focus_proxy,zero_xyz_mm,42.415272485642205,42.415272485642205,0.0
20200709-subject-01/20200709_144313,natural,geometry_focus_proxy,zero_xyz_mm,48.971885681152344,48.971885681152344,0.0
20200709-subject-01/20200709_144735,natural,geometry_focus_proxy,zero_xyz_mm,32.03614294528961,32.03614294528961,0.0
20200709-subject-01/20200709_145132,natural,geometry_focus_proxy,zero_xyz_mm,49.7221658706665,49.7221658706665,0.0
20200709-subject-01/20200709_145743,natural,geometry_focus_proxy,zero_xyz_mm,63.063247323036194,63.063247323036194,0.0
20200709-subject-01/20200709_150144,natural,geometry_focus_proxy,zero_xyz_mm,110.36395615797777,110.36395615797777,0.0
20200709-subject-01/20200709_150524,natural,geometry_focus_proxy,zero_xyz_mm,66.72490406036377,66.72490406036377,0.0
20200709-subject-01/20200709_150906,natural,geometry_focus_proxy,zero_xyz_mm,74.00199025472006,74.00199025472006,0.0
20200709-subject-01/20200709_151246,natural,geometry_focus_proxy,zero_xyz_mm,48.97973601023356,48.97973601023356,0.0
