sequence,case,region,metric,on,off,on_minus_off
20200709-subject-01/20200709_144313,heavy8,geometry_focus_real,zero_xyz_mm,51.11722469329834,51.11722469329834,0.0
20200709-subject-01/20200709_144735,heavy8,geometry_focus_real,zero_xyz_mm,33.45683717727661,33.45683717727661,0.0
20200709-subject-01/20200709_145132,heavy8,geometry_focus_real,zero_xyz_mm,37.29568147659302,37.29568147659302,0.0
20200709-subject-01/20200709_145743,heavy8,geometry_focus_real,zero_xyz_mm,59.69804573059082,59.69804573059082,0.0
20200709-subject-01/20200709_150144,heavy8,geometry_focus_real,zero_xyz_mm,123.64827632904053,123.64827632904053,0.0
20200709-subject-01/20200709_150524,heavy8,geometry_focus_real,zero_xyz_mm,85.69929599761963,85.69929599761963,0.0
20200709-subject-01/20200709_150906,heavy8,geometry_focus_real,zero_xyz_mm,66.70938014984131,66.70938014984131,0.0
20200709-subject-01/20200709_151246,heavy8,geometry_focus_real,zero_xyz_mm,55.71045160293579,55.71045160293579,0.0
20200709-subject-01/20200709_151632,heavy8,geometry_focus_real,zero_xyz_mm,95.15750980377197,95.15750980377197,0.0
20200709-subject-01/20200709_151948,heavy8,geometry_focus_real,zero_xyz_mm,105.38261032104492,105.38261032104492,0.0
20200709-subject-01/20200709_152420,heavy8,geometry_focus_real,zero_xyz_mm,16.913753390312195,16.913753390312195,0.0
20200709-subject-01/20200709_152757,heavy8,geometry_focus_real,zero_xyz_mm,24.161933660507202,24.161933660507202,0.0
20200709-subject-01/20200709_153148,heavy8,geometry_focus_real,zero_xyz_mm,67.2800817489624,67.2800817489624,0.0
20200709-subject-01/20200709_153548,heavy8,geometry_focus_real,zero_xyz_mm,34.104676723480225,34.104676723480225,0.0
20200813-subject-02/20200813_145612,heavy8,geometry_focus_real,zero_xyz_mm,63.23204517364502,63.23204517364502,0.0
20200813-subject-02/20200813_145920,heavy8,geometry_focus_real,zero_xyz_mm,85.91195583343506,85.91195583343506,0.0
20200813-subject-02/20200813_150228,heavy8,geometry_focus_real,zero_xyz_mm,83.52967166900635,83.52967166900635,0.0
20200813-subject-02/20200813_150535,heavy8,geometry_focus_real,zero_xyz_mm,40.427971839904785,40.427971839904785,0.0
20200813-subject-02/20200813_151117,heavy8,geometry_focus_real,zero_xyz_mm,43.00118160247803,43.00118160247803,0.0
20200813-subject-02/20200813_151925,heavy8,geometry_focus_real,zero_xyz_mm,52.003968715667725,52.003968715667725,0.0
20200813-subject-02/20200813_152215,heavy8,geometry_focus_real,zero_xyz_mm,46.50368070602417,46.50368070602417,0.0
20200813-subject-02/20200813_152513,heavy8,geometry_focus_real,zero_xyz_mm,44.4939227104187,44.4939227104187,0.0
20200813-subject-02/20200813_152842,heavy8,geometry_focus_real,zero_xyz_mm,67.29334449768066,67.29334449768066,0.0
20200813-subject-02/20200813_153152,heavy8,geometry_focus_real,zero_xyz_mm,106.58888530731201,106.58888530731201,0.0
20200813-subject-02/20200813_153453,heavy8,geometry_focus_real,zero_xyz_mm,91.38362121582031,91.38362121582031,0.0
20200813-subject-02/20200813_153802,heavy8,geometry_focus_real,zero_xyz_mm,76.27234554290771,76.27234554290771,0.0
20200813-subject-02/20200813_154103,heavy8,geometry_focus_real,zero_xyz_mm,50.42168188095093,50.42168188095093,0.0
20200813-subject-02/20200813_154408,heavy8,geometry_focus_real,zero_xyz_mm,89.08251094818115,89.08251094818115,0.0
20200813-subject-02/20200813_154729,heavy8,geometry_focus_real,zero_xyz_mm,72.02552890777588,72.02552890777588,0.0
20200813-subject-02/20200813_155021,heavy8,geometry_focus_real,zero_xyz_mm,42.752551317214966,42.752551317214966,0.0
20200813-subject-02/20200813_155314,heavy8,geometry_focus_real,zero_xyz_mm,25.1568021774292,25.1568021774292,0.0
20200813-subject-02/20200813_155633,heavy8,geometry_focus_real,zero_xyz_mm,66.94864559173584,66.94864559173584,0.0
20200813-subject-02/20200813_155953,heavy8,geometry_focus_real,zero_xyz_mm,33.0014910697937,33.0014910697937,0.0
20200709-subject-01/20200709_142123,heavy8,geometry_focus_real,depth_mm,4.583278238773346,4.583610415458679,-0.00033217668533325195
20200709-subject-01/20200709_142446,heavy8,geometry_focus_real,depth_mm,4.540844529867172,4.528442144393921,0.012402385473251343
20200709-subject-01/20200709_142802,heavy8,geometry_focus_real,depth_mm,9.664849758148193,9.667322158813477,-0.002472400665283203
20200709-subject-01/20200709_143125,heavy8,geometry_focus_real,depth_mm,4.900978326797485,4.901499927043915,-0.0005216002464294434
20200709-subject-01/20200709_143531,heavy8,geometry_focus_real,depth_mm,4.214704662561417,4.233134388923645,-0.018429726362228394
20200709-subject-01/20200709_143907,heavy8,geometry_focus_real,depth_mm,4.624948352575302,4.623330056667328,0.0016182959079742432
20200709-subject-01/20200709_144313,heavy8,geometry_focus_real,depth_mm,4.574097633361816,4.571879029273987,0.00221860408782959
20200709-subject-01/20200709_144735,heavy8,geometry_focus_real,depth_mm,4.2239037454128265,4.228724360466003,-0.00482061505317688
20200709-subject-01/20200709_145132,heavy8,geometry_focus_real,depth_mm,2.447237879037857,2.4463333189487457,0.0009045600891113281
20200709-subject-01/20200709_145743,heavy8,geometry_focus_real,depth_mm,5.979807078838348,5.975980162620544,0.003826916217803955
20200709-subject-01/20200709_150144,heavy8,geometry_focus_real,depth_mm,33.09759449958801,33.0979540348053,-0.00035953521728515625
20200709-subject-01/20200709_150524,heavy8,geometry_focus_real,depth_mm,17.33352041244507,17.32674753665924,0.006772875785827637
20200709-subject-01/20200709_150906,heavy8,geometry_focus_real,depth_mm,12.089887022972107,12.094778895378113,-0.004891872406005859
20200709-subject-01/20200709_151246,heavy8,geometry_focus_real,depth_mm,8.819033741950989,8.819461405277252,-0.00042766332626342773
20200709-subject-01/20200709_151632,heavy8,geometry_focus_real,depth_mm,36.09572219848633,36.09390211105347,0.0018200874328613281
20200709-subject-01/20200709_151948,heavy8,geometry_focus_real,depth_mm,25.590306282043457,25.587910413742065,0.0023958683013916016
20200709-subject-01/20200709_152420,heavy8,geometry_focus_real,depth_mm,10.199879884719849,10.20650863647461,-0.006628751754760742
20200709-subject-01/20200709_152757,heavy8,geometry_focus_real,depth_mm,12.184518933296204,12.188496232032776,-0.003977298736572266
20200709-subject-01/20200709_153148,heavy8,geometry_focus_real,depth_mm,13.133716464042664,13.131683945655823,0.0020325183868408203
20200709-subject-01/20200709_153548,heavy8,geometry_focus_real,depth_mm,6.309181213378906,6.30719918012619,0.0019820332527160645
20200813-subject-02/20200813_145612,heavy8,geometry_focus_real,depth_mm,12.51962947845459,12.520824432373047,-0.0011949539184570312
20200813-subject-02/20200813_145920,heavy8,geometry_focus_real,depth_mm,17.180073976516724,17.18169403076172,-0.0016200542449951172
20200813-subject-02/20200813_150228,heavy8,geometry_focus_real,depth_mm,11.595951199531555,11.600823283195496,-0.00487208366394043
20200813-subject-02/20200813_150535,heavy8,geometry_focus_real,depth_mm,2.948551595211029,2.9461455643177032,0.0024060308933258057
20200813-subject-02/20200813_151117,heavy8,geometry_focus_real,depth_mm,5.2493414878845215,5.248887538909912,0.000453948974609375
20200813-subject-02/20200813_151925,heavy8,geometry_focus_real,depth_mm,6.465724468231201,6.460844337940216,0.004880130290985107
20200813-subject-02/20200813_152215,heavy8,geometry_focus_real,depth_mm,4.35798192024231,4.356969565153122,0.001012355089187622
20200813-subject-02/20200813_152513,heavy8,geometry_focus_real,depth_mm,4.949149906635284,4.948265910148621,0.0008839964866638184
20200813-subject-02/20200813_152842,heavy8,geometry_focus_real,depth_mm,7.66593211889267,7.6700581312179565,-0.004126012325286865
20200813-subject-02/20200813_153152,heavy8,geometry_focus_real,depth_mm,18.82961416244507,18.83475160598755,-0.005137443542480469
20200813-subject-02/20200813_153453,heavy8,geometry_focus_real,depth_mm,26.390116453170776,26.38959550857544,0.0005209445953369141
20200813-subject-02/20200813_153802,heavy8,geometry_focus_real,depth_mm,26.63380265235901,26.631710290908813,0.0020923614501953125
20200813-subject-02/20200813_154103,heavy8,geometry_focus_real,depth_mm,8.434179186820984,8.435222923755646,-0.0010437369346618652
20200813-subject-02/20200813_154408,heavy8,geometry_focus_real,depth_mm,35.5892596244812,35.58992099761963,-0.0006613731384277344
20200813-subject-02/20200813_154729,heavy8,geometry_focus_real,depth_mm,14.48671579360962,14.488570094108582,-0.0018543004989624023
20200813-subject-02/20200813_155021,heavy8,geometry_focus_real,depth_mm,32.661808252334595,32.642945289611816,0.01886296272277832
20200813-subject-02/20200813_155314,heavy8,geometry_focus_real,depth_mm,10.835588216781616,10.835252165794373,0.00033605098724365234
20200813-subject-02/20200813_155633,heavy8,geometry_focus_real,depth_mm,39.42395496368408,39.42717361450195,-0.0032186508178710938
20200813-subject-02/20200813_155953,heavy8,geometry_focus_real,depth_mm,1.761165738105774,1.760221242904663,0.0009444952011108398
20200709-subject-01/20200709_142123,heavy8,geometry_focus_real,camera_consistency_mm,57.07776403427124,57.07790803909302,-0.00014400482177734375
20200709-subject-01/20200709_142446,heavy8,geometry_focus_real,camera_consistency_mm,75.57660293579102,75.57274055480957,0.0038623809814453125
20200709-subject-01/20200709_142802,heavy8,geometry_focus_real,camera_consistency_mm,53.22528600692749,53.226977825164795,-0.0016918182373046875
20200709-subject-01/20200709_143125,heavy8,geometry_focus_real,camera_consistency_mm,36.22641038894653,36.223525524139404,0.0028848648071289062
20200709-subject-01/20200709_143531,heavy8,geometry_focus_real,camera_consistency_mm,57.793150424957275,57.80351161956787,-0.010361194610595703
20200709-subject-01/20200709_143907,heavy8,geometry_focus_real,camera_consistency_mm,37.48268270492554,37.4835729598999,-0.0008902549743652344
20200709-subject-01/20200709_144313,heavy8,geometry_focus_real,camera_consistency_mm,52.03731155395508,52.03585147857666,0.0014600753784179688
20200709-subject-01/20200709_144735,heavy8,geometry_focus_real,camera_consistency_mm,29.110569715499878,29.110635995864868,-6.628036499023438e-05
20200709-subject-01/20200709_145132,heavy8,geometry_focus_real,camera_consistency_mm,39.97555065155029,39.97633647918701,-0.00078582763671875
20200709-subject-01/20200709_145743,heavy8,geometry_focus_real,camera_consistency_mm,56.34853744506836,56.34925603866577,-0.0007185935974121094
20200709-subject-01/20200709_150144,heavy8,geometry_focus_real,camera_consistency_mm,79.03787899017334,79.03592300415039,0.0019559860229492188
20200709-subject-01/20200709_150524,heavy8,geometry_focus_real,camera_consistency_mm,99.80251598358154,99.79589653015137,0.006619453430175781
20200709-subject-01/20200709_150906,heavy8,geometry_focus_real,camera_consistency_mm,55.44280004501343,55.43597221374512,0.006827831268310547
20200709-subject-01/20200709_151246,heavy8,geometry_focus_real,camera_consistency_mm,49.88174247741699,49.881686210632324,5.626678466796875e-05
20200709-subject-01/20200709_151632,heavy8,geometry_focus_real,camera_consistency_mm,66.46819305419922,66.47091579437256,-0.0027227401733398438
20200709-subject-01/20200709_151948,heavy8,geometry_focus_real,camera_consistency_mm,84.06939601898193,84.07014751434326,-0.000751495361328125
20200709-subject-01/20200709_152420,heavy8,geometry_focus_real,camera_consistency_mm,14.311994314193726,14.31446361541748,-0.002469301223754883
20200709-subject-01/20200709_152757,heavy8,geometry_focus_real,camera_consistency_mm,22.87878441810608,22.882808446884155,-0.004024028778076172
20200709-subject-01/20200709_153148,heavy8,geometry_focus_real,camera_consistency_mm,65.31314468383789,65.30990648269653,0.003238201141357422
20200709-subject-01/20200709_153548,heavy8,geometry_focus_real,camera_consistency_mm,37.624568462371826,37.62275266647339,0.0018157958984375
20200813-subject-02/20200813_145612,heavy8,geometry_focus_real,camera_consistency_mm,55.58730936050415,55.583181381225586,0.004127979278564453
20200813-subject-02/20200813_145920,heavy8,geometry_focus_real,camera_consistency_mm,76.66786575317383,76.66533660888672,0.002529144287109375
20200813-subject-02/20200813_150228,heavy8,geometry_focus_real,camera_consistency_mm,67.09276103973389,67.0888557434082,0.0039052963256835938
20200813-subject-02/20200813_150535,heavy8,geometry_focus_real,camera_consistency_mm,39.08475160598755,39.086132526397705,-0.00138092041015625
20200813-subject-02/20200813_151117,heavy8,geometry_focus_real,camera_consistency_mm,36.84690570831299,36.848591804504395,-0.00168609619140625
20200813-subject-02/20200813_151925,heavy8,geometry_focus_real,camera_consistency_mm,48.9608941078186,48.96352577209473,-0.002631664276123047
20200813-subject-02/20200813_152215,heavy8,geometry_focus_real,camera_consistency_mm,43.82696008682251,43.82641887664795,0.0005412101745605469
20200813-subject-02/20200813_152513,heavy8,geometry_focus_real,camera_consistency_mm,38.347522258758545,38.347736835479736,-0.00021457672119140625
20200813-subject-02/20200813_152842,heavy8,geometry_focus_real,camera_consistency_mm,71.8455286026001,71.85065364837646,-0.0051250457763671875
20200813-subject-02/20200813_153152,heavy8,geometry_focus_real,camera_consistency_mm,84.24061584472656,84.24145793914795,-0.0008420944213867188
20200813-subject-02/20200813_153453,heavy8,geometry_focus_real,camera_consistency_mm,77.09569549560547,77.09267139434814,0.0030241012573242188
20200813-subject-02/20200813_153802,heavy8,geometry_focus_real,camera_consistency_mm,68.08051109313965,68.08185195922852,-0.0013408660888671875
20200813-subject-02/20200813_154103,heavy8,geometry_focus_real,camera_consistency_mm,56.574278354644775,56.574979305267334,-0.0007009506225585938
20200813-subject-02/20200813_154408,heavy8,geometry_focus_real,camera_consistency_mm,61.22288656234741,61.22330856323242,-0.0004220008850097656
20200813-subject-02/20200813_154729,heavy8,geometry_focus_real,camera_consistency_mm,63.57017993927002,63.57139015197754,-0.0012102127075195312
20200813-subject-02/20200813_155021,heavy8,geometry_focus_real,camera_consistency_mm,34.66817903518677,34.657055377960205,0.0111236572265625
20200813-subject-02/20200813_155314,heavy8,geometry_focus_real,camera_consistency_mm,22.451807737350464,22.44965672492981,0.002151012420654297
20200813-subject-02/20200813_155633,heavy8,geometry_focus_real,camera_consistency_mm,42.3752555847168,42.374659061431885,0.0005965232849121094
20200813-subject-02/20200813_155953,heavy8,geometry_focus_real,camera_consistency_mm,33.0237922668457,33.02474880218506,-0.0009565353393554688
20200709-subject-01/20200709_142123,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,35.38212823867798,35.38299036026001,-0.00086212158203125
20200709-subject-01/20200709_142446,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,25.6244797706604,25.63266611099243,-0.00818634033203125
20200709-subject-01/20200709_142802,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,26.407973527908325,26.41144323348999,-0.003469705581665039
20200709-subject-01/20200709_143125,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,25.411652326583862,25.408447265625,0.0032050609588623047
20200709-subject-01/20200709_143531,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,29.592910766601562,29.610539197921753,-0.01762843132019043
20200709-subject-01/20200709_143907,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,26.085058212280273,26.08664083480835,-0.0015826225280761719
20200709-subject-01/20200709_144313,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,46.076000690460205,46.074875831604004,0.0011248588562011719
20200709-subject-01/20200709_144735,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,8.663265347480774,8.660996317863464,0.0022690296173095703
20200709-subject-01/20200709_145132,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,20.813406467437744,20.81527829170227,-0.0018718242645263672
20200709-subject-01/20200709_145743,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,32.23775553703308,32.23500967025757,0.0027458667755126953
20200709-subject-01/20200709_150144,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,71.38913440704346,71.38609886169434,0.0030355453491210938
20200709-subject-01/20200709_150524,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,72.3115348815918,72.30280303955078,0.008731842041015625
20200709-subject-01/20200709_150906,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,46.04649591445923,46.03728151321411,0.009214401245117188
20200709-subject-01/20200709_151246,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,38.58476543426514,38.58445882797241,0.0003066062927246094
20200709-subject-01/20200709_151632,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,54.236905574798584,54.238420486450195,-0.0015149116516113281
20200709-subject-01/20200709_151948,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,76.84792613983154,76.8487720489502,-0.0008459091186523438
20200709-subject-01/20200709_152420,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,7.116311550140381,7.116482824087143,-0.00017127394676208496
20200709-subject-01/20200709_152757,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,10.180109322071075,10.18639451265335,-0.006285190582275391
20200709-subject-01/20200709_153148,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,41.68280649185181,41.68065643310547,0.0021500587463378906
20200709-subject-01/20200709_153548,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,24.72352361679077,24.720963716506958,0.0025599002838134766
20200813-subject-02/20200813_145612,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,32.91459846496582,32.91426610946655,0.0003323554992675781
20200813-subject-02/20200813_145920,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,35.60462951660156,35.60080862045288,0.0038208961486816406
20200813-subject-02/20200813_150228,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,61.455352783203125,61.451690673828125,0.003662109375
20200813-subject-02/20200813_150535,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,27.60310435295105,27.604787588119507,-0.0016832351684570312
20200813-subject-02/20200813_151117,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,28.845616817474365,28.847212553024292,-0.0015957355499267578
20200813-subject-02/20200813_151925,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,39.294660568237305,39.29856777191162,-0.003907203674316406
20200813-subject-02/20200813_152215,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,38.40492296218872,38.404497146606445,0.0004258155822753906
20200813-subject-02/20200813_152513,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,27.57844829559326,27.579508543014526,-0.0010602474212646484
20200813-subject-02/20200813_152842,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,62.131088733673096,62.13627910614014,-0.005190372467041016
20200813-subject-02/20200813_153152,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,61.07998180389404,61.07917547225952,0.0008063316345214844
20200813-subject-02/20200813_153453,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,65.78677463531494,65.78575992584229,0.00101470947265625
20200813-subject-02/20200813_153802,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,11.481852769851685,11.49477156996727,-0.012918800115585327
20200813-subject-02/20200813_154103,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,29.780482053756714,29.781505584716797,-0.0010235309600830078
20200813-subject-02/20200813_154408,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,44.38890600204468,44.387410163879395,0.0014958381652832031
20200813-subject-02/20200813_154729,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,37.262916564941406,37.2642240524292,-0.0013074874877929688
20200813-subject-02/20200813_155021,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,17.968212604522705,17.949287056922913,0.01892554759979248
20200813-subject-02/20200813_155314,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,6.131431818008423,6.12945944070816,0.001972377300262451
20200813-subject-02/20200813_155633,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,9.2654430270195,9.259546101093292,0.005896925926208496
20200813-subject-02/20200813_155953,heavy8,geometry_focus_real,xyz_depth_inconsistency_mm,23.70153498649597,23.703038454055786,-0.0015034675598144531
20200709-subject-01/20200709_142123,heavy8,geometry_focus_real,xyz_reprojection_px,29.468028783798218,29.46783947944641,0.00018930435180664062
20200709-subject-01/20200709_142446,heavy8,geometry_focus_real,xyz_reprojection_px,38.499128341674805,38.49841785430908,0.0007104873657226562
20200709-subject-01/20200709_142802,heavy8,geometry_focus_real,xyz_reprojection_px,27.47746515274048,27.47657608985901,0.0008890628814697266
20200709-subject-01/20200709_143125,heavy8,geometry_focus_real,xyz_reprojection_px,25.28641939163208,25.28598952293396,0.0004298686981201172
20200709-subject-01/20200709_143531,heavy8,geometry_focus_real,xyz_reprojection_px,24.338276863098145,24.337419033050537,0.0008578300476074219
20200709-subject-01/20200709_143907,heavy8,geometry_focus_real,xyz_reprojection_px,31.119458198547363,31.119283437728882,0.0001747608184814453
20200709-subject-01/20200709_144313,heavy8,geometry_focus_real,xyz_reprojection_px,26.675655603408813,26.67430806159973,0.0013475418090820312
20200709-subject-01/20200709_144735,heavy8,geometry_focus_real,xyz_reprojection_px,35.10944175720215,35.109215259552,0.00022649765014648438
20200709-subject-01/20200709_145132,heavy8,geometry_focus_real,xyz_reprojection_px,33.463335037231445,33.46300792694092,0.00032711029052734375
20200709-subject-01/20200709_145743,heavy8,geometry_focus_real,xyz_reprojection_px,30.58259630203247,30.585885047912598,-0.003288745880126953
20200709-subject-01/20200709_150144,heavy8,geometry_focus_real,xyz_reprojection_px,20.7477068901062,20.74817967414856,-0.00047278404235839844
20200709-subject-01/20200709_150524,heavy8,geometry_focus_real,xyz_reprojection_px,36.4727840423584,36.47191047668457,0.000873565673828125
20200709-subject-01/20200709_150906,heavy8,geometry_focus_real,xyz_reprojection_px,19.80305767059326,19.804807424545288,-0.0017497539520263672
20200709-subject-01/20200709_151246,heavy8,geometry_focus_real,xyz_reprojection_px,38.10581111907959,38.10560941696167,0.00020170211791992188
20200709-subject-01/20200709_151632,heavy8,geometry_focus_real,xyz_reprojection_px,19.408055067062378,19.408411741256714,-0.0003566741943359375
20200709-subject-01/20200709_151948,heavy8,geometry_focus_real,xyz_reprojection_px,29.80180525779724,29.802687883377075,-0.0008826255798339844
20200709-subject-01/20200709_152420,heavy8,geometry_focus_real,xyz_reprojection_px,6.184798955917358,6.184783518314362,1.5437602996826172e-05
20200709-subject-01/20200709_152757,heavy8,geometry_focus_real,xyz_reprojection_px,19.478302001953125,19.476805210113525,0.0014967918395996094
20200709-subject-01/20200709_153148,heavy8,geometry_focus_real,xyz_reprojection_px,24.98481559753418,24.984031438827515,0.0007841587066650391
20200709-subject-01/20200709_153548,heavy8,geometry_focus_real,xyz_reprojection_px,29.476317882537842,29.476228952407837,8.893013000488281e-05
20200813-subject-02/20200813_145612,heavy8,geometry_focus_real,xyz_reprojection_px,27.10104203224182,27.099429845809937,0.0016121864318847656
20200813-subject-02/20200813_145920,heavy8,geometry_focus_real,xyz_reprojection_px,34.831260681152344,34.83146619796753,-0.00020551681518554688
20200813-subject-02/20200813_150228,heavy8,geometry_focus_real,xyz_reprojection_px,22.682641744613647,22.681914806365967,0.0007269382476806641
20200813-subject-02/20200813_150535,heavy8,geometry_focus_real,xyz_reprojection_px,27.604512214660645,27.605082750320435,-0.0005705356597900391
20200813-subject-02/20200813_151117,heavy8,geometry_focus_real,xyz_reprojection_px,24.432615995407104,24.433427810668945,-0.0008118152618408203
20200813-subject-02/20200813_151925,heavy8,geometry_focus_real,xyz_reprojection_px,24.744965314865112,24.745802402496338,-0.0008370876312255859
20200813-subject-02/20200813_152215,heavy8,geometry_focus_real,xyz_reprojection_px,20.163918018341064,20.163597106933594,0.0003209114074707031
20200813-subject-02/20200813_152513,heavy8,geometry_focus_real,xyz_reprojection_px,27.263734817504883,27.262903451919556,0.0008313655853271484
20200813-subject-02/20200813_152842,heavy8,geometry_focus_real,xyz_reprojection_px,16.835437774658203,16.835728406906128,-0.0002906322479248047
20200813-subject-02/20200813_153152,heavy8,geometry_focus_real,xyz_reprojection_px,26.117029190063477,26.117303609848022,-0.00027441978454589844
20200813-subject-02/20200813_153453,heavy8,geometry_focus_real,xyz_reprojection_px,28.601218700408936,28.59853744506836,0.002681255340576172
20200813-subject-02/20200813_153802,heavy8,geometry_focus_real,xyz_reprojection_px,46.74399518966675,46.74332904815674,0.0006661415100097656
20200813-subject-02/20200813_154103,heavy8,geometry_focus_real,xyz_reprojection_px,39.1780800819397,39.17802381515503,5.626678466796875e-05
20200813-subject-02/20200813_154408,heavy8,geometry_focus_real,xyz_reprojection_px,22.482864379882812,22.48278546333313,7.891654968261719e-05
20200813-subject-02/20200813_154729,heavy8,geometry_focus_real,xyz_reprojection_px,25.626115322113037,25.626439332962036,-0.00032401084899902344
20200813-subject-02/20200813_155021,heavy8,geometry_focus_real,xyz_reprojection_px,18.40946352481842,18.407841324806213,0.0016222000122070312
20200813-subject-02/20200813_155314,heavy8,geometry_focus_real,xyz_reprojection_px,22.539563179016113,22.538206338882446,0.0013568401336669922
20200813-subject-02/20200813_155633,heavy8,geometry_focus_real,xyz_reprojection_px,22.234434366226196,22.234314680099487,0.00011968612670898438
20200813-subject-02/20200813_155953,heavy8,geometry_focus_real,xyz_reprojection_px,27.220460653305054,27.220062017440796,0.0003986358642578125
20200709-subject-01/20200709_142123,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_142446,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_142802,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_143125,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_143531,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_143907,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_144313,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_144735,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_145132,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_145743,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_150144,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_150524,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_150906,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_151246,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_151632,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_151948,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_152420,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_152757,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_153148,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200709-subject-01/20200709_153548,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200813-subject-02/20200813_145612,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200813-subject-02/20200813_145920,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200813-subject-02/20200813_150228,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200813-subject-02/20200813_150535,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200813-subject-02/20200813_151117,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200813-subject-02/20200813_151925,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200813-subject-02/20200813_152215,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200813-subject-02/20200813_152513,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
20200813-subject-02/20200813_152842,heavy8,geometry_focus_real,behind_camera_fraction,0.0,0.0,0.0
