method,step,pose_loss,ce,top1,visible_keys_per_microbatch,supported_queries_per_microbatch,seconds_per_step
s0_l1,25,0.4901202653348446,,,,,7.566378800519742
s0_l1,50,0.45944999922066926,,,,,7.089592725033872
s0_l1,75,0.42761745274066926,,,,,7.1706903853779655
s0_l1,100,0.34176773227751256,,,,,7.049275498534553
s0_l1,125,0.3493107237108052,,,,,7.151230688448996
s0_l1,150,0.3374349447898567,,,,,7.1879434844851495
s0_l1,175,0.31262480465695264,,,,,7.247752130785957
s0_l1,200,0.31012416334822773,,,,,7.393895092769526
s0_l1,225,0.29240724924951794,,,,,7.564792530536652
s0_l1,250,0.3097764455154538,,,,,7.567059683739208
s0_l1,275,0.2903247244656086,,,,,7.464294434771873
s0_l1,300,0.28477633056230844,,,,,7.3807541070133444
s0_l1,325,0.28603767763823273,,,,,7.236374344904907
s0_l1,350,0.2760503534600139,,,,,7.2284996534604575
s0_l1,375,0.30455239064991474,,,,,7.018242076211609
s0_l1,400,0.28284116204828025,,,,,7.0523938303161415
s0_l1,425,0.2779478528536856,,,,,7.293985867011361
s0_l1,450,0.2673390978761017,,,,,7.3146746764518324
s0_l1,475,0.28787005322054027,,,,,7.19569671228528
s0_l1,500,0.2917517508007586,,,,,7.263739661313593
s0_l1,525,0.2743671477306634,,,,,7.292080569849349
s0_l1,550,0.29035956582054495,,,,,7.341766132051125
s0_l1,575,0.2777895850595087,,,,,7.376772512528114
s0_l1,600,0.29407092253677547,,,,,7.497926427028142
s0_l1,625,0.25213791059330104,,,,,7.383556124749593
s0_l1,650,0.28124686411581934,,,,,7.478659088625573
s0_l1,675,0.2701193391438574,,,,,7.3087430827831845
s0_l1,700,0.290428905300796,,,,,7.15444303845521
s0_l1,725,0.2820890137553215,,,,,7.354147825217805
s0_l1,750,0.26769312933087347,,,,,7.113160257413983
s0_l1,775,0.2707427467033267,,,,,7.3385349377430975
s0_l1,800,0.296628730148077,,,,,7.255598810473457
s0_l1,825,0.26778046164661645,,,,,7.464425440165214
s0_l1,850,0.29038998708128927,,,,,7.298429925628007
s0_l1,875,0.28258511930704117,,,,,7.258346512517892
s0_l1,900,0.2767563359905034,,,,,7.295633649295196
s0_l1,925,0.27763444763608275,,,,,7.315627286629751
s0_l1,950,0.27121218274347486,,,,,7.190872131236829
s0_l1,975,0.28076107454486193,,,,,7.208518667952157
s0_l1,1000,0.2698894658870995,,,,,7.241969129266217
s0_l0,25,0.48301447708159684,,,,,7.691385554205627
s0_l0,50,0.46227028451859953,,,,,7.121916425335221
s0_l0,75,0.426820300295949,,,,,7.1437035985104735
s0_l0,100,0.34322171453386546,,,,,7.153319487534463
s0_l0,125,0.3491407729871571,,,,,7.266771625299007
s0_l0,150,0.3401963563635945,,,,,7.1965344218723475
s0_l0,175,0.3107030534557998,,,,,7.202816050997935
s0_l0,200,0.3089276815019548,,,,,7.307330897264182
s0_l0,225,0.28827628357335927,,,,,7.115648590498604
