population,metric,contrast,delta,lower95,upper95,lower99,upper99
all,add_01,spatial_with_latent,0.07550520325456489,-0.1957757899339141,0.34352279101655475,-0.28362430003132694,0.41038917452108536
all,add_01,spatial_without_latent,0.1782694481556888,-0.14261420166916208,0.5220852868760401,-0.22305082829369613,0.6081489369450815
all,add_01,remove_latent_without_spatial,-0.07390558422628146,-0.29537725077553034,0.14783412776757063,-0.34247363547776144,0.19715691629634832
all,add_01,remove_latent_with_spatial,0.02885866067484244,-0.13397973750460146,0.19881027727079342,-0.1726584665692052,0.2444131982242312
all,add_01,interaction,0.1027642449011239,-0.18629253236223525,0.39224779637395013,-0.2575285331686778,0.45343847521674724
all,add_01,s0_l1_vs_residual,0.5087156542033213,-0.3101794431343821,1.3863482130296265,-0.49491020451320644,1.5915559703297906
all,add_01,s0_l1_vs_fp,5.513624646729568,1.4475198008942556,9.37245315559893,0.32730221934570386,10.51488531432473
all,add_01,s0_l0_vs_residual,0.43481006997703986,-0.34282845983112026,1.2249717242105347,-0.5343957923187854,1.4444363203385109
all,add_01,s0_l0_vs_fp,5.439719062503286,1.298742781420495,9.374401806828812,0.14191361554928936,10.590011277690246
all,add_01,s1_l1_vs_residual,0.5842208574578862,-0.2523449373745219,1.4758075763935974,-0.4295530258022909,1.6744899679309553
all,add_01,s1_l1_vs_fp,5.589129849984133,1.4677432868059426,9.536907202390315,0.3404623650716486,10.736650965861003
all,add_01,s1_l0_vs_residual,0.6130795181327287,-0.1900847174304122,1.486719896249765,-0.3641092554689558,1.6849341364210524
all,add_01,s1_l0_vs_fp,5.617988510658975,1.5886704216089764,9.493997247819703,0.4955043283656205,10.629941892147295
all,adds_005,spatial_with_latent,0.024926052416759603,-0.18104656147876136,0.22638715716756153,-0.23388845069070627,0.28092263850678734
all,adds_005,spatial_without_latent,0.29920424062329687,-0.0231710599792013,0.6385750992781621,-0.0907703526661055,0.7235804632242333
all,adds_005,remove_latent_without_spatial,-0.07741012645870171,-0.3655317780218802,0.19461388297556603,-0.4275858460419997,0.26118692845441066
all,adds_005,remove_latent_with_spatial,0.19686806174783555,0.007797503884073372,0.40263886304920216,-0.021617375195801997,0.4540402341596987
all,adds_005,interaction,0.27427818820653727,-0.01174903708887988,0.5825472994346401,-0.07665034785436141,0.6580843134864998
all,adds_005,s0_l1_vs_residual,0.7397360678686056,-0.03858722036208881,1.5814611817995534,-0.22319745373113123,1.794808249344076
all,adds_005,s0_l1_vs_fp,11.984748417331517,7.610575619421637,16.0844127893004,6.34699154885438,17.409950214643978
all,adds_005,s0_l0_vs_residual,0.6623259414099039,-0.02268038463517886,1.371786517689437,-0.2245346985684653,1.5551061246433266
all,adds_005,s0_l0_vs_fp,11.907338290872815,7.509610212920473,16.075950366150074,6.135569292599001,17.425906139278037
all,adds_005,s1_l1_vs_residual,0.7646621202853652,-0.13560121073604242,1.7240611223957163,-0.34541049328215184,1.9693616287483264
all,adds_005,s1_l1_vs_fp,12.009674469748276,7.6283488104259165,16.16004714461795,6.280920545793674,17.487151435420554
all,adds_005,s1_l0_vs_residual,0.9615301820332007,0.13195635801429156,1.8597025154332776,-0.025891712605343203,2.0902412725499815
all,adds_005,s1_l0_vs_fp,12.206542531496112,7.82732732383364,16.360035335900616,6.463915133909136,17.694653574931802
all,adds_01,spatial_with_latent,-0.06951241404472341,-0.2415622942710023,0.09515168255021669,-0.2826501795761706,0.13073023963557895
all,adds_01,spatial_without_latent,0.011583632363084462,-0.17050527661293452,0.22903055592168967,-0.19733084874002324,0.2596355276124176
all,adds_01,remove_latent_without_spatial,-0.08574037451496963,-0.2857105892270493,0.0913948732502351,-0.32408183084267905,0.12483398687767112
all,adds_01,remove_latent_with_spatial,-0.004644328107161755,-0.09682748135088666,0.08345341829604995,-0.11250612448274175,0.09798307160579847
all,adds_01,interaction,0.08109604640780788,-0.12482871732731694,0.26322252109781447,-0.17846342460200054,0.30757480588330727
all,adds_01,s0_l1_vs_residual,0.5403215849355831,-0.25474725566188033,1.3756404379237888,-0.4035791901717538,1.5914729304505888
all,adds_01,s0_l1_vs_fp,11.059241998641255,6.67227325102532,15.681888584913116,5.284016770396305,16.91080884809893
all,adds_01,s0_l0_vs_residual,0.4545812104206135,-0.2692254485442295,1.203821927274941,-0.4107008468441676,1.4108638390485422
all,adds_01,s0_l0_vs_fp,10.973501624126285,6.534173826221229,15.645615136505091,5.083922299291296,16.908221973958344
all,adds_01,s1_l1_vs_residual,0.4708091708908597,-0.37022657914789575,1.3836523288711564,-0.5335058824761969,1.600861560740733
all,adds_01,s1_l1_vs_fp,10.989729584596532,6.610302908580971,15.595201558463504,5.233531212027107,16.8631121290363
all,adds_01,s1_l0_vs_residual,0.46616484278369796,-0.3951422510958263,1.3770402147291587,-0.5663086099632164,1.597865520351855
all,adds_01,s1_l0_vs_fp,10.98508525648937,6.602211898612829,15.566015220781845,5.219938922439672,16.87702828501559
all,rotation_deg,spatial_with_latent,-0.08126945439533273,-0.15456386048135135,0.02141918367761446,-0.1737951402533694,0.051068409104276916
all,rotation_deg,spatial_without_latent,0.12128803273567712,-0.1887161709143438,0.4431371198987209,-0.24641457403469033,0.5205417758140306
all,rotation_deg,remove_latent_without_spatial,-0.015031921207345533,-0.10896825675769968,0.11408672130678282,-0.13522883604442212,0.14792649562358837
all,rotation_deg,remove_latent_with_spatial,0.18752556592366432,-0.09809161819231811,0.49188193729518015,-0.13651451510658458,0.5560615010013484
all,rotation_deg,interaction,0.20255748713100985,-0.13668714030991608,0.5358643279704579,-0.20675532357927515,0.6103122896795071
all,rotation_deg,s0_l1_vs_residual,-0.2270312762788862,-1.156574137601619,0.7295230400239502,-1.4014829301751162,0.9739661932919423
all,rotation_deg,s0_l1_vs_fp,-3.3247338818745007,-6.579427427865558,0.2342516764930407,-7.754835803208339,1.1124765991801164
all,rotation_deg,s0_l0_vs_residual,-0.24206319748623173,-1.1899812106901897,0.7518601068242385,-1.44994406473656,1.007821480695263
all,rotation_deg,s0_l0_vs_fp,-3.3397658030818462,-6.575858121221743,0.23122792856405483,-7.8227031395140125,1.1051381039766794
all,rotation_deg,s1_l1_vs_residual,-0.3083007306742189,-1.2376833574818402,0.6670075623165,-1.4919761539355711,0.9158647645586818
all,rotation_deg,s1_l1_vs_fp,-3.4060033362698334,-6.6241202633577325,0.13071211864954024,-7.836498672096279,0.982282429362113
all,rotation_deg,s1_l0_vs_residual,-0.12077516475055461,-1.025291482605043,0.8092653965181,-1.2839914758625663,1.042919152172746
all,rotation_deg,s1_l0_vs_fp,-3.218477770346169,-6.366786618716534,0.23090566723740574,-7.44458430754126,1.1081311993858367
all,center_mm,spatial_with_latent,0.020511508952930413,-0.03865214023791399,0.07528741138681655,-0.05435011384519752,0.0886707572596697
all,center_mm,spatial_without_latent,0.029789412922585967,-0.06654221165889421,0.12506050669350266,-0.09001373714285309,0.14504833824322302
all,center_mm,remove_latent_without_spatial,0.005018024297923418,-0.07475290896126427,0.08963085067314003,-0.0885588305364407,0.10364945580549413
all,center_mm,remove_latent_with_spatial,0.014295928267578972,-0.04158296502299792,0.08076657479045743,-0.05220693453007141,0.09221701633280291
all,center_mm,interaction,0.009277903969655554,-0.08792061447230208,0.11820681534460728,-0.10507979624100378,0.14485646610213346
all,center_mm,s0_l1_vs_residual,-0.33652661720405597,-2.368687335934134,2.0040147367372967,-2.728026096738396,2.363885037159696
all,center_mm,s0_l1_vs_fp,-32.83212038056229,-46.85718184361406,-19.13177630258267,-50.901962677224155,-15.220949650558962
all,center_mm,s0_l0_vs_residual,-0.33150859290613255,-2.336822380637449,1.9791715186430459,-2.6856618798749823,2.342592325557034
all,center_mm,s0_l0_vs_fp,-32.82710235626437,-46.869501249702154,-19.056263529900736,-50.931869923931956,-15.149675023068495
