method,stream_id,object_id,physical_sequence,start,end,length,post_complete,censor_reason,reference_failed,stable_offset
s1_l0,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,18,20,3,True,,False,3
fp,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,18,20,3,True,,False,3
residual,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,53,71,19,False,stream_end,False,
s0_l1,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,53,71,19,False,stream_end,False,
s0_l0,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,53,71,19,False,stream_end,False,
s1_l1,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,53,71,19,False,stream_end,False,
s1_l0,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,53,71,19,False,stream_end,False,
fp,20200709-subject-01/20200709_152757/840412060917,18,20200709-subject-01/20200709_152757,53,71,19,False,stream_end,False,
residual,20200709-subject-01/20200709_152757/932122060861,18,20200709-subject-01/20200709_152757,26,71,46,False,stream_end,True,
s0_l1,20200709-subject-01/20200709_152757/932122060861,18,20200709-subject-01/20200709_152757,26,71,46,False,stream_end,True,
s0_l0,20200709-subject-01/20200709_152757/932122060861,18,20200709-subject-01/20200709_152757,26,71,46,False,stream_end,True,
s1_l1,20200709-subject-01/20200709_152757/932122060861,18,20200709-subject-01/20200709_152757,26,71,46,False,stream_end,True,
s1_l0,20200709-subject-01/20200709_152757/932122060861,18,20200709-subject-01/20200709_152757,26,71,46,False,stream_end,True,
fp,20200709-subject-01/20200709_152757/932122060861,18,20200709-subject-01/20200709_152757,26,71,46,False,stream_end,True,
residual,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,38,40,3,False,next_occlusion,False,
s0_l1,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,38,40,3,False,next_occlusion,False,
s0_l0,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,38,40,3,False,next_occlusion,False,
s1_l1,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,38,40,3,False,next_occlusion,False,
s1_l0,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,38,40,3,False,next_occlusion,False,
fp,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,38,40,3,False,next_occlusion,False,
residual,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,42,44,3,True,,False,9
s0_l1,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,42,44,3,True,,False,3
s0_l0,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,42,44,3,True,,False,3
s1_l1,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,42,44,3,True,,False,3
s1_l0,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,42,44,3,True,,False,3
fp,20200709-subject-01/20200709_152757/932122061900,18,20200709-subject-01/20200709_152757,42,44,3,True,,False,
residual,20200709-subject-01/20200709_153148/932122060857,20,20200709-subject-01/20200709_153148,21,70,50,False,stream_end,True,
s0_l1,20200709-subject-01/20200709_153148/932122060857,20,20200709-subject-01/20200709_153148,21,70,50,False,stream_end,True,
s0_l0,20200709-subject-01/20200709_153148/932122060857,20,20200709-subject-01/20200709_153148,21,70,50,False,stream_end,True,
s1_l1,20200709-subject-01/20200709_153148/932122060857,20,20200709-subject-01/20200709_153148,21,70,50,False,stream_end,True,
s1_l0,20200709-subject-01/20200709_153148/932122060857,20,20200709-subject-01/20200709_153148,21,70,50,False,stream_end,True,
fp,20200709-subject-01/20200709_153148/932122060857,20,20200709-subject-01/20200709_153148,21,70,50,False,stream_end,True,
residual,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,18,22,5,False,next_occlusion,True,
s0_l1,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,18,22,5,False,next_occlusion,True,
s0_l0,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,18,22,5,False,next_occlusion,True,
s1_l1,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,18,22,5,False,next_occlusion,True,
s1_l0,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,18,22,5,False,next_occlusion,True,
fp,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,18,22,5,False,next_occlusion,True,
residual,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,32,71,40,False,stream_end,True,
s0_l1,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,32,71,40,False,stream_end,True,
s0_l0,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,32,71,40,False,stream_end,True,
s1_l1,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,32,71,40,False,stream_end,True,
s1_l0,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,32,71,40,False,stream_end,True,
fp,20200709-subject-01/20200709_153548/841412060263,21,20200709-subject-01/20200709_153548,32,71,40,False,stream_end,True,
residual,20200709-subject-01/20200709_153548/932122060857,21,20200709-subject-01/20200709_153548,26,52,27,True,,False,3
s0_l1,20200709-subject-01/20200709_153548/932122060857,21,20200709-subject-01/20200709_153548,26,52,27,True,,False,3
s0_l0,20200709-subject-01/20200709_153548/932122060857,21,20200709-subject-01/20200709_153548,26,52,27,True,,False,3
s1_l1,20200709-subject-01/20200709_153548/932122060857,21,20200709-subject-01/20200709_153548,26,52,27,True,,False,3
s1_l0,20200709-subject-01/20200709_153548/932122060857,21,20200709-subject-01/20200709_153548,26,52,27,True,,False,3
fp,20200709-subject-01/20200709_153548/932122060857,21,20200709-subject-01/20200709_153548,26,52,27,True,,False,4
residual,20200813-subject-02/20200813_145612/841412060263,1,20200813-subject-02/20200813_145612,15,17,3,True,,False,3
s0_l1,20200813-subject-02/20200813_145612/841412060263,1,20200813-subject-02/20200813_145612,15,17,3,True,,False,3
s0_l0,20200813-subject-02/20200813_145612/841412060263,1,20200813-subject-02/20200813_145612,15,17,3,True,,False,3
s1_l1,20200813-subject-02/20200813_145612/841412060263,1,20200813-subject-02/20200813_145612,15,17,3,True,,False,3
s1_l0,20200813-subject-02/20200813_145612/841412060263,1,20200813-subject-02/20200813_145612,15,17,3,True,,False,3
fp,20200813-subject-02/20200813_145612/841412060263,1,20200813-subject-02/20200813_145612,15,17,3,True,,False,3
residual,20200813-subject-02/20200813_150535/836212060125,4,20200813-subject-02/20200813_150535,33,36,4,True,,False,3
s0_l1,20200813-subject-02/20200813_150535/836212060125,4,20200813-subject-02/20200813_150535,33,36,4,True,,False,3
s0_l0,20200813-subject-02/20200813_150535/836212060125,4,20200813-subject-02/20200813_150535,33,36,4,True,,False,3
s1_l1,20200813-subject-02/20200813_150535/836212060125,4,20200813-subject-02/20200813_150535,33,36,4,True,,False,3
s1_l0,20200813-subject-02/20200813_150535/836212060125,4,20200813-subject-02/20200813_150535,33,36,4,True,,False,3
fp,20200813-subject-02/20200813_150535/836212060125,4,20200813-subject-02/20200813_150535,33,36,4,True,,False,
residual,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,15,26,12,True,,False,3
s0_l1,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,15,26,12,True,,False,3
s0_l0,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,15,26,12,True,,False,3
s1_l1,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,15,26,12,True,,False,3
s1_l0,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,15,26,12,True,,False,3
fp,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,15,26,12,True,,False,3
residual,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,40,45,6,False,initialization_or_missing_pose_or_visibility,True,
s0_l1,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,40,45,6,False,initialization_or_missing_pose_or_visibility,True,
s0_l0,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,40,45,6,False,initialization_or_missing_pose_or_visibility,True,
s1_l1,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,40,45,6,False,initialization_or_missing_pose_or_visibility,True,
s1_l0,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,40,45,6,False,initialization_or_missing_pose_or_visibility,True,
fp,20200813-subject-02/20200813_150535/841412060263,4,20200813-subject-02/20200813_150535,40,45,6,False,initialization_or_missing_pose_or_visibility,True,
residual,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,15,33,19,False,next_occlusion,False,3
s0_l1,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,15,33,19,False,next_occlusion,False,3
s0_l0,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,15,33,19,False,next_occlusion,False,3
s1_l1,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,15,33,19,False,next_occlusion,False,3
s1_l0,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,15,33,19,False,next_occlusion,False,3
fp,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,15,33,19,False,next_occlusion,False,3
residual,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,43,44,2,False,initialization_or_missing_pose_or_visibility,True,
s0_l1,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,43,44,2,False,initialization_or_missing_pose_or_visibility,True,
s0_l0,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,43,44,2,False,initialization_or_missing_pose_or_visibility,True,
s1_l1,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,43,44,2,False,initialization_or_missing_pose_or_visibility,True,
s1_l0,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,43,44,2,False,initialization_or_missing_pose_or_visibility,True,
fp,20200813-subject-02/20200813_150823/840412060917,5,20200813-subject-02/20200813_150823,43,44,2,False,initialization_or_missing_pose_or_visibility,True,
residual,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,25,27,3,False,next_occlusion,False,
s0_l1,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,25,27,3,False,next_occlusion,False,
s0_l0,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,25,27,3,False,next_occlusion,False,
s1_l1,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,25,27,3,False,next_occlusion,False,
s1_l0,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,25,27,3,False,next_occlusion,False,
fp,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,25,27,3,False,next_occlusion,False,
residual,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,29,34,6,True,,False,3
s0_l1,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,29,34,6,True,,False,3
s0_l0,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,29,34,6,True,,False,3
s1_l1,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,29,34,6,True,,False,3
s1_l0,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,29,34,6,True,,False,3
fp,20200813-subject-02/20200813_150823/932122060861,5,20200813-subject-02/20200813_150823,29,34,6,True,,False,3
residual,20200813-subject-02/20200813_151117/836212060125,6,20200813-subject-02/20200813_151117,43,46,4,True,,True,
s0_l1,20200813-subject-02/20200813_151117/836212060125,6,20200813-subject-02/20200813_151117,43,46,4,True,,True,
s0_l0,20200813-subject-02/20200813_151117/836212060125,6,20200813-subject-02/20200813_151117,43,46,4,True,,True,
s1_l1,20200813-subject-02/20200813_151117/836212060125,6,20200813-subject-02/20200813_151117,43,46,4,True,,True,
s1_l0,20200813-subject-02/20200813_151117/836212060125,6,20200813-subject-02/20200813_151117,43,46,4,True,,True,
fp,20200813-subject-02/20200813_151117/836212060125,6,20200813-subject-02/20200813_151117,43,46,4,True,,True,
residual,20200813-subject-02/20200813_151117/840412060917,6,20200813-subject-02/20200813_151117,58,60,3,False,initialization_or_missing_pose_or_visibility,True,
s0_l1,20200813-subject-02/20200813_151117/840412060917,6,20200813-subject-02/20200813_151117,58,60,3,False,initialization_or_missing_pose_or_visibility,True,
s0_l0,20200813-subject-02/20200813_151117/840412060917,6,20200813-subject-02/20200813_151117,58,60,3,False,initialization_or_missing_pose_or_visibility,True,
s1_l1,20200813-subject-02/20200813_151117/840412060917,6,20200813-subject-02/20200813_151117,58,60,3,False,initialization_or_missing_pose_or_visibility,True,
s1_l0,20200813-subject-02/20200813_151117/840412060917,6,20200813-subject-02/20200813_151117,58,60,3,False,initialization_or_missing_pose_or_visibility,True,
fp,20200813-subject-02/20200813_151117/840412060917,6,20200813-subject-02/20200813_151117,58,60,3,False,initialization_or_missing_pose_or_visibility,True,
residual,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,17,21,5,True,,True,6
s0_l1,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,17,21,5,True,,True,3
s0_l0,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,17,21,5,True,,True,3
s1_l1,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,17,21,5,True,,True,3
s1_l0,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,17,21,5,True,,True,3
fp,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,17,21,5,True,,True,
residual,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,41,45,5,True,,False,
s0_l1,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,41,45,5,True,,False,
s0_l0,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,41,45,5,True,,False,
s1_l1,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,41,45,5,True,,False,
s1_l0,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,41,45,5,True,,False,
fp,20200813-subject-02/20200813_151117/841412060263,6,20200813-subject-02/20200813_151117,41,45,5,True,,False,
residual,20200813-subject-02/20200813_151117/932122060857,6,20200813-subject-02/20200813_151117,22,40,19,True,,True,7
s0_l1,20200813-subject-02/20200813_151117/932122060857,6,20200813-subject-02/20200813_151117,22,40,19,True,,True,7
s0_l0,20200813-subject-02/20200813_151117/932122060857,6,20200813-subject-02/20200813_151117,22,40,19,True,,True,7
s1_l1,20200813-subject-02/20200813_151117/932122060857,6,20200813-subject-02/20200813_151117,22,40,19,True,,True,7
s1_l0,20200813-subject-02/20200813_151117/932122060857,6,20200813-subject-02/20200813_151117,22,40,19,True,,True,7
fp,20200813-subject-02/20200813_151117/932122060857,6,20200813-subject-02/20200813_151117,22,40,19,True,,True,
residual,20200813-subject-02/20200813_151117/932122062010,6,20200813-subject-02/20200813_151117,25,38,14,True,,False,5
s0_l1,20200813-subject-02/20200813_151117/932122062010,6,20200813-subject-02/20200813_151117,25,38,14,True,,False,5
s0_l0,20200813-subject-02/20200813_151117/932122062010,6,20200813-subject-02/20200813_151117,25,38,14,True,,False,5
s1_l1,20200813-subject-02/20200813_151117/932122062010,6,20200813-subject-02/20200813_151117,25,38,14,True,,False,5
s1_l0,20200813-subject-02/20200813_151117/932122062010,6,20200813-subject-02/20200813_151117,25,38,14,True,,False,5
fp,20200813-subject-02/20200813_151117/932122062010,6,20200813-subject-02/20200813_151117,25,38,14,True,,False,
residual,20200813-subject-02/20200813_151925/840412060917,7,20200813-subject-02/20200813_151925,22,43,22,True,,False,6
s0_l1,20200813-subject-02/20200813_151925/840412060917,7,20200813-subject-02/20200813_151925,22,43,22,True,,False,6
s0_l0,20200813-subject-02/20200813_151925/840412060917,7,20200813-subject-02/20200813_151925,22,43,22,True,,False,6
s1_l1,20200813-subject-02/20200813_151925/840412060917,7,20200813-subject-02/20200813_151925,22,43,22,True,,False,6
s1_l0,20200813-subject-02/20200813_151925/840412060917,7,20200813-subject-02/20200813_151925,22,43,22,True,,False,6
fp,20200813-subject-02/20200813_151925/840412060917,7,20200813-subject-02/20200813_151925,22,43,22,True,,False,5
residual,20200813-subject-02/20200813_151925/932122060857,7,20200813-subject-02/20200813_151925,29,37,9,True,,False,7
s0_l1,20200813-subject-02/20200813_151925/932122060857,7,20200813-subject-02/20200813_151925,29,37,9,True,,False,7
s0_l0,20200813-subject-02/20200813_151925/932122060857,7,20200813-subject-02/20200813_151925,29,37,9,True,,False,7
s1_l1,20200813-subject-02/20200813_151925/932122060857,7,20200813-subject-02/20200813_151925,29,37,9,True,,False,7
s1_l0,20200813-subject-02/20200813_151925/932122060857,7,20200813-subject-02/20200813_151925,29,37,9,True,,False,7
fp,20200813-subject-02/20200813_151925/932122060857,7,20200813-subject-02/20200813_151925,29,37,9,True,,False,
residual,20200813-subject-02/20200813_151925/932122060861,7,20200813-subject-02/20200813_151925,27,42,16,True,,False,3
s0_l1,20200813-subject-02/20200813_151925/932122060861,7,20200813-subject-02/20200813_151925,27,42,16,True,,False,5
s0_l0,20200813-subject-02/20200813_151925/932122060861,7,20200813-subject-02/20200813_151925,27,42,16,True,,False,5
s1_l1,20200813-subject-02/20200813_151925/932122060861,7,20200813-subject-02/20200813_151925,27,42,16,True,,False,5
s1_l0,20200813-subject-02/20200813_151925/932122060861,7,20200813-subject-02/20200813_151925,27,42,16,True,,False,5
fp,20200813-subject-02/20200813_151925/932122060861,7,20200813-subject-02/20200813_151925,27,42,16,True,,False,
residual,20200813-subject-02/20200813_152215/932122060857,8,20200813-subject-02/20200813_152215,25,43,19,True,,True,6
s0_l1,20200813-subject-02/20200813_152215/932122060857,8,20200813-subject-02/20200813_152215,25,43,19,True,,True,6
s0_l0,20200813-subject-02/20200813_152215/932122060857,8,20200813-subject-02/20200813_152215,25,43,19,True,,True,6
s1_l1,20200813-subject-02/20200813_152215/932122060857,8,20200813-subject-02/20200813_152215,25,43,19,True,,True,6
s1_l0,20200813-subject-02/20200813_152215/932122060857,8,20200813-subject-02/20200813_152215,25,43,19,True,,True,6
fp,20200813-subject-02/20200813_152215/932122060857,8,20200813-subject-02/20200813_152215,25,43,19,True,,True,
residual,20200813-subject-02/20200813_152215/932122060861,8,20200813-subject-02/20200813_152215,29,36,8,True,,False,3
s0_l1,20200813-subject-02/20200813_152215/932122060861,8,20200813-subject-02/20200813_152215,29,36,8,True,,False,3
s0_l0,20200813-subject-02/20200813_152215/932122060861,8,20200813-subject-02/20200813_152215,29,36,8,True,,False,3
s1_l1,20200813-subject-02/20200813_152215/932122060861,8,20200813-subject-02/20200813_152215,29,36,8,True,,False,3
s1_l0,20200813-subject-02/20200813_152215/932122060861,8,20200813-subject-02/20200813_152215,29,36,8,True,,False,3
fp,20200813-subject-02/20200813_152215/932122060861,8,20200813-subject-02/20200813_152215,29,36,8,True,,False,10
residual,20200813-subject-02/20200813_152215/932122062010,8,20200813-subject-02/20200813_152215,33,40,8,True,,True,
s0_l1,20200813-subject-02/20200813_152215/932122062010,8,20200813-subject-02/20200813_152215,33,40,8,True,,True,
s0_l0,20200813-subject-02/20200813_152215/932122062010,8,20200813-subject-02/20200813_152215,33,40,8,True,,True,
s1_l1,20200813-subject-02/20200813_152215/932122062010,8,20200813-subject-02/20200813_152215,33,40,8,True,,True,
s1_l0,20200813-subject-02/20200813_152215/932122062010,8,20200813-subject-02/20200813_152215,33,40,8,True,,True,
fp,20200813-subject-02/20200813_152215/932122062010,8,20200813-subject-02/20200813_152215,33,40,8,True,,True,
residual,20200813-subject-02/20200813_152513/839512060362,9,20200813-subject-02/20200813_152513,44,73,30,False,stream_end,False,
s0_l1,20200813-subject-02/20200813_152513/839512060362,9,20200813-subject-02/20200813_152513,44,73,30,False,stream_end,False,
s0_l0,20200813-subject-02/20200813_152513/839512060362,9,20200813-subject-02/20200813_152513,44,73,30,False,stream_end,False,
s1_l1,20200813-subject-02/20200813_152513/839512060362,9,20200813-subject-02/20200813_152513,44,73,30,False,stream_end,False,
s1_l0,20200813-subject-02/20200813_152513/839512060362,9,20200813-subject-02/20200813_152513,44,73,30,False,stream_end,False,
fp,20200813-subject-02/20200813_152513/839512060362,9,20200813-subject-02/20200813_152513,44,73,30,False,stream_end,False,
residual,20200813-subject-02/20200813_152513/840412060917,9,20200813-subject-02/20200813_152513,32,73,42,False,stream_end,True,
s0_l1,20200813-subject-02/20200813_152513/840412060917,9,20200813-subject-02/20200813_152513,32,73,42,False,stream_end,True,
s0_l0,20200813-subject-02/20200813_152513/840412060917,9,20200813-subject-02/20200813_152513,32,73,42,False,stream_end,True,
s1_l1,20200813-subject-02/20200813_152513/840412060917,9,20200813-subject-02/20200813_152513,32,73,42,False,stream_end,True,
s1_l0,20200813-subject-02/20200813_152513/840412060917,9,20200813-subject-02/20200813_152513,32,73,42,False,stream_end,True,
fp,20200813-subject-02/20200813_152513/840412060917,9,20200813-subject-02/20200813_152513,32,73,42,False,stream_end,True,
residual,20200813-subject-02/20200813_152513/932122060857,9,20200813-subject-02/20200813_152513,29,40,12,True,,False,3
s0_l1,20200813-subject-02/20200813_152513/932122060857,9,20200813-subject-02/20200813_152513,29,40,12,True,,False,3
s0_l0,20200813-subject-02/20200813_152513/932122060857,9,20200813-subject-02/20200813_152513,29,40,12,True,,False,3
s1_l1,20200813-subject-02/20200813_152513/932122060857,9,20200813-subject-02/20200813_152513,29,40,12,True,,False,3
s1_l0,20200813-subject-02/20200813_152513/932122060857,9,20200813-subject-02/20200813_152513,29,40,12,True,,False,3
fp,20200813-subject-02/20200813_152513/932122060857,9,20200813-subject-02/20200813_152513,29,40,12,True,,False,
residual,20200813-subject-02/20200813_152513/932122060861,9,20200813-subject-02/20200813_152513,30,46,17,True,,False,3
s0_l1,20200813-subject-02/20200813_152513/932122060861,9,20200813-subject-02/20200813_152513,30,46,17,True,,False,3
s0_l0,20200813-subject-02/20200813_152513/932122060861,9,20200813-subject-02/20200813_152513,30,46,17,True,,False,3
s1_l1,20200813-subject-02/20200813_152513/932122060861,9,20200813-subject-02/20200813_152513,30,46,17,True,,False,3
s1_l0,20200813-subject-02/20200813_152513/932122060861,9,20200813-subject-02/20200813_152513,30,46,17,True,,False,3
fp,20200813-subject-02/20200813_152513/932122060861,9,20200813-subject-02/20200813_152513,30,46,17,True,,False,
residual,20200813-subject-02/20200813_152513/932122061900,9,20200813-subject-02/20200813_152513,32,44,13,True,,False,3
s0_l1,20200813-subject-02/20200813_152513/932122061900,9,20200813-subject-02/20200813_152513,32,44,13,True,,False,3
s0_l0,20200813-subject-02/20200813_152513/932122061900,9,20200813-subject-02/20200813_152513,32,44,13,True,,False,3
s1_l1,20200813-subject-02/20200813_152513/932122061900,9,20200813-subject-02/20200813_152513,32,44,13,True,,False,3
s1_l0,20200813-subject-02/20200813_152513/932122061900,9,20200813-subject-02/20200813_152513,32,44,13,True,,False,3
fp,20200813-subject-02/20200813_152513/932122061900,9,20200813-subject-02/20200813_152513,32,44,13,True,,False,
residual,20200813-subject-02/20200813_152842/839512060362,10,20200813-subject-02/20200813_152842,41,43,3,True,,True,9
s0_l1,20200813-subject-02/20200813_152842/839512060362,10,20200813-subject-02/20200813_152842,41,43,3,True,,True,9
s0_l0,20200813-subject-02/20200813_152842/839512060362,10,20200813-subject-02/20200813_152842,41,43,3,True,,True,9
s1_l1,20200813-subject-02/20200813_152842/839512060362,10,20200813-subject-02/20200813_152842,41,43,3,True,,True,9
s1_l0,20200813-subject-02/20200813_152842/839512060362,10,20200813-subject-02/20200813_152842,41,43,3,True,,True,9
fp,20200813-subject-02/20200813_152842/839512060362,10,20200813-subject-02/20200813_152842,41,43,3,True,,True,
residual,20200813-subject-02/20200813_152842/841412060263,10,20200813-subject-02/20200813_152842,1,35,35,True,,True,5
s0_l1,20200813-subject-02/20200813_152842/841412060263,10,20200813-subject-02/20200813_152842,1,35,35,True,,True,5
s0_l0,20200813-subject-02/20200813_152842/841412060263,10,20200813-subject-02/20200813_152842,1,35,35,True,,True,5
s1_l1,20200813-subject-02/20200813_152842/841412060263,10,20200813-subject-02/20200813_152842,1,35,35,True,,True,5
s1_l0,20200813-subject-02/20200813_152842/841412060263,10,20200813-subject-02/20200813_152842,1,35,35,True,,True,5
fp,20200813-subject-02/20200813_152842/841412060263,10,20200813-subject-02/20200813_152842,1,35,35,True,,True,
residual,20200813-subject-02/20200813_152842/932122060861,10,20200813-subject-02/20200813_152842,25,41,17,True,,False,
s0_l1,20200813-subject-02/20200813_152842/932122060861,10,20200813-subject-02/20200813_152842,25,41,17,True,,False,
s0_l0,20200813-subject-02/20200813_152842/932122060861,10,20200813-subject-02/20200813_152842,25,41,17,True,,False,
s1_l1,20200813-subject-02/20200813_152842/932122060861,10,20200813-subject-02/20200813_152842,25,41,17,True,,False,
s1_l0,20200813-subject-02/20200813_152842/932122060861,10,20200813-subject-02/20200813_152842,25,41,17,True,,False,
fp,20200813-subject-02/20200813_152842/932122060861,10,20200813-subject-02/20200813_152842,25,41,17,True,,False,
residual,20200813-subject-02/20200813_152842/932122061900,10,20200813-subject-02/20200813_152842,29,35,7,True,,False,3
s0_l1,20200813-subject-02/20200813_152842/932122061900,10,20200813-subject-02/20200813_152842,29,35,7,True,,False,3
s0_l0,20200813-subject-02/20200813_152842/932122061900,10,20200813-subject-02/20200813_152842,29,35,7,True,,False,3
s1_l1,20200813-subject-02/20200813_152842/932122061900,10,20200813-subject-02/20200813_152842,29,35,7,True,,False,3
s1_l0,20200813-subject-02/20200813_152842/932122061900,10,20200813-subject-02/20200813_152842,29,35,7,True,,False,3
fp,20200813-subject-02/20200813_152842/932122061900,10,20200813-subject-02/20200813_152842,29,35,7,True,,False,3
residual,20200813-subject-02/20200813_153152/932122060857,11,20200813-subject-02/20200813_153152,23,24,2,True,,False,3
s0_l1,20200813-subject-02/20200813_153152/932122060857,11,20200813-subject-02/20200813_153152,23,24,2,True,,False,3
s0_l0,20200813-subject-02/20200813_153152/932122060857,11,20200813-subject-02/20200813_153152,23,24,2,True,,False,3
s1_l1,20200813-subject-02/20200813_153152/932122060857,11,20200813-subject-02/20200813_153152,23,24,2,True,,False,3
s1_l0,20200813-subject-02/20200813_153152/932122060857,11,20200813-subject-02/20200813_153152,23,24,2,True,,False,3
fp,20200813-subject-02/20200813_153152/932122060857,11,20200813-subject-02/20200813_153152,23,24,2,True,,False,3
residual,20200813-subject-02/20200813_153453/839512060362,12,20200813-subject-02/20200813_153453,1,43,43,True,,True,4
s0_l1,20200813-subject-02/20200813_153453/839512060362,12,20200813-subject-02/20200813_153453,1,43,43,True,,True,4
s0_l0,20200813-subject-02/20200813_153453/839512060362,12,20200813-subject-02/20200813_153453,1,43,43,True,,True,4
s1_l1,20200813-subject-02/20200813_153453/839512060362,12,20200813-subject-02/20200813_153453,1,43,43,True,,True,4
s1_l0,20200813-subject-02/20200813_153453/839512060362,12,20200813-subject-02/20200813_153453,1,43,43,True,,True,4
fp,20200813-subject-02/20200813_153453/839512060362,12,20200813-subject-02/20200813_153453,1,43,43,True,,True,3
