method,stream_id,object_id,physical_sequence,start,end,length,post_complete,censor_reason,reference_failed,stable_offset
fp,20200709-subject-01/20200709_143531/836212060125,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,3
residual,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
s0_l1,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
s0_l0,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
s1_l1,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
s1_l0,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
fp,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
residual,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,44,53,10,True,,False,3
s0_l1,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,44,53,10,True,,False,3
s0_l0,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,44,53,10,True,,False,3
s1_l1,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,44,53,10,True,,False,3
s1_l0,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,44,53,10,True,,False,3
fp,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,44,53,10,True,,False,3
residual,20200709-subject-01/20200709_143531/932122062010,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,3
s0_l1,20200709-subject-01/20200709_143531/932122062010,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,3
s0_l0,20200709-subject-01/20200709_143531/932122062010,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,10
s1_l1,20200709-subject-01/20200709_143531/932122062010,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,3
s1_l0,20200709-subject-01/20200709_143531/932122062010,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,3
fp,20200709-subject-01/20200709_143531/932122062010,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,3
residual,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,1,17,17,True,,False,3
s0_l1,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,1,17,17,True,,False,3
s0_l0,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,1,17,17,True,,False,3
s1_l1,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,1,17,17,True,,False,3
s1_l0,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,1,17,17,True,,False,3
fp,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,1,17,17,True,,False,3
residual,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,40,46,7,True,,True,3
s0_l1,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,40,46,7,True,,True,3
s0_l0,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,40,46,7,True,,True,3
s1_l1,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,40,46,7,True,,True,3
s1_l0,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,40,46,7,True,,True,3
fp,20200709-subject-01/20200709_143907/839512060362,6,20200709-subject-01/20200709_143907,40,46,7,True,,True,
residual,20200709-subject-01/20200709_143907/841412060263,6,20200709-subject-01/20200709_143907,17,36,20,True,,False,3
s0_l1,20200709-subject-01/20200709_143907/841412060263,6,20200709-subject-01/20200709_143907,17,36,20,True,,False,3
s0_l0,20200709-subject-01/20200709_143907/841412060263,6,20200709-subject-01/20200709_143907,17,36,20,True,,False,3
s1_l1,20200709-subject-01/20200709_143907/841412060263,6,20200709-subject-01/20200709_143907,17,36,20,True,,False,3
s1_l0,20200709-subject-01/20200709_143907/841412060263,6,20200709-subject-01/20200709_143907,17,36,20,True,,False,3
fp,20200709-subject-01/20200709_143907/841412060263,6,20200709-subject-01/20200709_143907,17,36,20,True,,False,5
residual,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,12,20,9,True,,False,3
s0_l1,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,12,20,9,True,,False,3
s0_l0,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,12,20,9,True,,False,3
s1_l1,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,12,20,9,True,,False,3
s1_l0,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,12,20,9,True,,False,3
fp,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,12,20,9,True,,False,7
residual,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,38,63,26,False,stream_end,False,3
s0_l1,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,38,63,26,False,stream_end,False,3
s0_l0,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,38,63,26,False,stream_end,False,3
s1_l1,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,38,63,26,False,stream_end,False,3
s1_l0,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,38,63,26,False,stream_end,False,3
fp,20200709-subject-01/20200709_144313/841412060263,7,20200709-subject-01/20200709_144313,38,63,26,False,stream_end,False,3
residual,20200709-subject-01/20200709_144735/836212060125,8,20200709-subject-01/20200709_144735,1,25,25,True,,True,8
s0_l1,20200709-subject-01/20200709_144735/836212060125,8,20200709-subject-01/20200709_144735,1,25,25,True,,True,3
s0_l0,20200709-subject-01/20200709_144735/836212060125,8,20200709-subject-01/20200709_144735,1,25,25,True,,True,3
s1_l1,20200709-subject-01/20200709_144735/836212060125,8,20200709-subject-01/20200709_144735,1,25,25,True,,True,3
s1_l0,20200709-subject-01/20200709_144735/836212060125,8,20200709-subject-01/20200709_144735,1,25,25,True,,True,3
fp,20200709-subject-01/20200709_144735/836212060125,8,20200709-subject-01/20200709_144735,1,25,25,True,,True,3
residual,20200709-subject-01/20200709_144735/840412060917,8,20200709-subject-01/20200709_144735,10,71,62,False,stream_end,True,
s0_l1,20200709-subject-01/20200709_144735/840412060917,8,20200709-subject-01/20200709_144735,10,71,62,False,stream_end,True,
s0_l0,20200709-subject-01/20200709_144735/840412060917,8,20200709-subject-01/20200709_144735,10,71,62,False,stream_end,True,
s1_l1,20200709-subject-01/20200709_144735/840412060917,8,20200709-subject-01/20200709_144735,10,71,62,False,stream_end,True,
s1_l0,20200709-subject-01/20200709_144735/840412060917,8,20200709-subject-01/20200709_144735,10,71,62,False,stream_end,True,
fp,20200709-subject-01/20200709_144735/840412060917,8,20200709-subject-01/20200709_144735,10,71,62,False,stream_end,True,
residual,20200709-subject-01/20200709_144735/932122060861,8,20200709-subject-01/20200709_144735,19,31,13,True,,True,4
s0_l1,20200709-subject-01/20200709_144735/932122060861,8,20200709-subject-01/20200709_144735,19,31,13,True,,True,5
s0_l0,20200709-subject-01/20200709_144735/932122060861,8,20200709-subject-01/20200709_144735,19,31,13,True,,True,5
s1_l1,20200709-subject-01/20200709_144735/932122060861,8,20200709-subject-01/20200709_144735,19,31,13,True,,True,6
s1_l0,20200709-subject-01/20200709_144735/932122060861,8,20200709-subject-01/20200709_144735,19,31,13,True,,True,6
fp,20200709-subject-01/20200709_144735/932122060861,8,20200709-subject-01/20200709_144735,19,31,13,True,,True,8
residual,20200709-subject-01/20200709_145132/839512060362,9,20200709-subject-01/20200709_145132,1,31,31,True,,False,3
s0_l1,20200709-subject-01/20200709_145132/839512060362,9,20200709-subject-01/20200709_145132,1,31,31,True,,False,3
s0_l0,20200709-subject-01/20200709_145132/839512060362,9,20200709-subject-01/20200709_145132,1,31,31,True,,False,3
