population,metric,physical_sequence,object_id,method,frames,sum
all,add_01,20200709-subject-01/20200709_150906,13,fp,592,5000.0
all,add_01,20200709-subject-01/20200709_151246,14,residual,592,32400.0
all,add_01,20200709-subject-01/20200709_151246,14,s0_l1,592,30600.0
all,add_01,20200709-subject-01/20200709_151246,14,s0_l0,592,30800.0
all,add_01,20200709-subject-01/20200709_151246,14,s1_l1,592,31100.0
all,add_01,20200709-subject-01/20200709_151246,14,s1_l0,592,31200.0
all,add_01,20200709-subject-01/20200709_151246,14,fp,592,21100.0
all,add_01,20200709-subject-01/20200709_151632,15,residual,576,56600.0
all,add_01,20200709-subject-01/20200709_151632,15,s0_l1,576,56500.0
all,add_01,20200709-subject-01/20200709_151632,15,s0_l0,576,56500.0
all,add_01,20200709-subject-01/20200709_151632,15,s1_l1,576,56100.0
all,add_01,20200709-subject-01/20200709_151632,15,s1_l0,576,56200.0
all,add_01,20200709-subject-01/20200709_151632,15,fp,576,55200.0
all,add_01,20200709-subject-01/20200709_151948,16,residual,576,28500.0
all,add_01,20200709-subject-01/20200709_151948,16,s0_l1,576,28600.0
all,add_01,20200709-subject-01/20200709_151948,16,s0_l0,576,28600.0
all,add_01,20200709-subject-01/20200709_151948,16,s1_l1,576,28500.0
all,add_01,20200709-subject-01/20200709_151948,16,s1_l0,576,28500.0
all,add_01,20200709-subject-01/20200709_151948,16,fp,576,27600.0
all,add_01,20200709-subject-01/20200709_152420,17,residual,592,29200.0
all,add_01,20200709-subject-01/20200709_152420,17,s0_l1,592,29700.0
all,add_01,20200709-subject-01/20200709_152420,17,s0_l0,592,29600.0
all,add_01,20200709-subject-01/20200709_152420,17,s1_l1,592,28700.0
all,add_01,20200709-subject-01/20200709_152420,17,s1_l0,592,28800.0
all,add_01,20200709-subject-01/20200709_152420,17,fp,592,33900.0
all,add_01,20200709-subject-01/20200709_152757,18,residual,576,16600.0
all,add_01,20200709-subject-01/20200709_152757,18,s0_l1,576,24400.0
all,add_01,20200709-subject-01/20200709_152757,18,s0_l0,576,23100.0
all,add_01,20200709-subject-01/20200709_152757,18,s1_l1,576,25900.0
all,add_01,20200709-subject-01/20200709_152757,18,s1_l0,576,26000.0
all,add_01,20200709-subject-01/20200709_152757,18,fp,576,29300.0
all,add_01,20200709-subject-01/20200709_153148,20,residual,576,13800.0
all,add_01,20200709-subject-01/20200709_153148,20,s0_l1,576,14000.0
all,add_01,20200709-subject-01/20200709_153148,20,s0_l0,576,14100.0
all,add_01,20200709-subject-01/20200709_153148,20,s1_l1,576,14000.0
all,add_01,20200709-subject-01/20200709_153148,20,s1_l0,576,14100.0
all,add_01,20200709-subject-01/20200709_153148,20,fp,576,20200.0
all,add_01,20200709-subject-01/20200709_153548,21,residual,576,13400.0
all,add_01,20200709-subject-01/20200709_153548,21,s0_l1,576,13100.0
all,add_01,20200709-subject-01/20200709_153548,21,s0_l0,576,13100.0
all,add_01,20200709-subject-01/20200709_153548,21,s1_l1,576,13300.0
all,add_01,20200709-subject-01/20200709_153548,21,s1_l0,576,13200.0
all,add_01,20200709-subject-01/20200709_153548,21,fp,576,6400.0
all,add_01,20200813-subject-02/20200813_145612,1,residual,592,24000.0
all,add_01,20200813-subject-02/20200813_145612,1,s0_l1,592,24600.0
all,add_01,20200813-subject-02/20200813_145612,1,s0_l0,592,24700.0
all,add_01,20200813-subject-02/20200813_145612,1,s1_l1,592,24200.0
all,add_01,20200813-subject-02/20200813_145612,1,s1_l0,592,23800.0
all,add_01,20200813-subject-02/20200813_145612,1,fp,592,11100.0
all,add_01,20200813-subject-02/20200813_145920,2,residual,592,59000.0
all,add_01,20200813-subject-02/20200813_145920,2,s0_l1,592,59000.0
all,add_01,20200813-subject-02/20200813_145920,2,s0_l0,592,59000.0
all,add_01,20200813-subject-02/20200813_145920,2,s1_l1,592,59000.0
all,add_01,20200813-subject-02/20200813_145920,2,s1_l0,592,59000.0
all,add_01,20200813-subject-02/20200813_145920,2,fp,592,58800.0
all,add_01,20200813-subject-02/20200813_150228,3,residual,576,54000.0
all,add_01,20200813-subject-02/20200813_150228,3,s0_l1,576,54000.0
all,add_01,20200813-subject-02/20200813_150228,3,s0_l0,576,54000.0
all,add_01,20200813-subject-02/20200813_150228,3,s1_l1,576,54200.0
all,add_01,20200813-subject-02/20200813_150228,3,s1_l0,576,54100.0
all,add_01,20200813-subject-02/20200813_150228,3,fp,576,40700.0
all,add_01,20200813-subject-02/20200813_150535,4,residual,592,36300.0
all,add_01,20200813-subject-02/20200813_150535,4,s0_l1,592,36800.0
all,add_01,20200813-subject-02/20200813_150535,4,s0_l0,592,37500.0
all,add_01,20200813-subject-02/20200813_150535,4,s1_l1,592,36800.0
all,add_01,20200813-subject-02/20200813_150535,4,s1_l0,592,37200.0
all,add_01,20200813-subject-02/20200813_150535,4,fp,592,24300.0
all,add_01,20200813-subject-02/20200813_150823,5,residual,576,51600.0
all,add_01,20200813-subject-02/20200813_150823,5,s0_l1,576,50000.0
all,add_01,20200813-subject-02/20200813_150823,5,s0_l0,576,49800.0
all,add_01,20200813-subject-02/20200813_150823,5,s1_l1,576,50300.0
all,add_01,20200813-subject-02/20200813_150823,5,s1_l0,576,50300.0
